ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_cat,Married_cat,Dependents_cat,Education_cat,Self_Employed_cat,Property_Area_cat,Loan_Status_cat
1000,3022,110000,360,1,2,2,3,0,2,2,0
3167,4000,180000,300,0,2,2,5,0,1,1,0
3333,2166,130000,360,1,2,2,5,1,2,1,1
3846,0,111000,360,1,1,1,2,0,1,1,1
2395,0,66000,360,1,2,2,3,0,2,1,1
1378,1881,167000,360,1,1,2,4,0,1,2,0
6000,2250,265000,360,1,2,2,2,0,1,1,0
3988,0,50000,240,1,2,2,3,0,1,2,1
2366,2531,136000,360,1,2,1,2,0,1,1,1
3333,2000,99000,360,1,2,2,4,1,1,1,1
2500,2118,104000,360,1,2,2,2,0,1,1,1
8566,0,210000,360,1,2,1,2,0,1,2,1
5695,4167,175000,360,1,2,2,2,0,1,1,1
2958,2900,131000,360,1,2,2,2,0,1,1,1
6250,5654,188000,180,1,2,2,4,0,1,1,1
3273,1820,81000,360,1,2,2,4,1,1,2,1
4133,0,122000,360,1,2,1,2,0,1,1,1
3620,0,25000,120,1,2,1,2,1,1,1,1
6782,0,143000,360,1,2,1,2,0,0,2,0
2484,2302,137000,360,1,1,2,2,0,1,1,1
1977,997,50000,360,1,2,2,2,0,1,1,1
4188,0,115000,180,1,2,2,2,1,1,1,1
1759,3541,131000,360,1,2,2,2,0,1,1,1
4288,3263,133000,180,1,2,2,4,1,1,2,1
4843,3806,151000,360,1,2,1,2,0,1,1,1
13650,0,259000,360,1,2,2,0,0,1,2,1
4652,3583,172000,360,1,2,2,2,0,1,1,1
3816,754,160000,360,1,2,0,0,0,1,2,1
3052,1030,100000,360,1,2,2,3,0,1,2,1
11417,1126,225000,360,1,2,2,4,0,1,2,1
7333,0,120000,360,1,2,1,2,1,0,0,0
3800,3600,216000,360,0,2,2,4,0,1,2,0
2071,754,94000,480,1,2,2,5,1,1,1,1
5316,0,136000,360,1,2,1,2,0,1,2,1
2929,2333,139000,360,1,1,2,2,0,0,1,1
3572,4114,152000,360,0,2,2,2,1,1,0,0
7451,0,120000,360,1,1,1,3,0,2,1,1
5050,0,118000,360,1,2,1,2,0,0,1,1
14583,0,185000,180,1,2,2,3,0,1,0,1
3167,2283,154000,360,1,1,2,2,0,1,1,1
2214,1398,85000,360,1,2,2,3,0,1,2,1
5568,2142,175000,360,1,2,2,2,0,1,0,0
10408,0,259000,360,1,1,1,2,0,1,2,1
5667,2667,180000,360,1,2,2,0,0,1,0,1
4166,0,44000,360,1,1,1,2,0,1,1,1
2137,8980,137000,360,0,1,1,2,0,1,1,1
2957,0,81000,360,1,2,2,4,0,1,1,1
4300,2014,194000,360,1,2,2,2,1,1,0,1
3692,0,93000,360,1,1,1,2,0,1,0,1
23803,0,370000,360,1,0,2,5,0,1,0,1
3865,1640,112000,360,1,2,1,2,0,1,0,1
10513,3850,160000,180,0,2,2,3,0,2,2,0
6080,2569,182000,360,1,2,2,2,0,1,0,0
20166,0,650000,480,1,2,1,2,0,2,2,1
2014,1929,74000,360,1,2,1,2,0,1,2,1
2718,0,70000,360,1,2,1,2,0,1,1,1
3459,0,25000,120,1,2,2,2,0,2,1,1
4895,0,102000,360,1,2,1,2,0,1,1,1
4000,7750,290000,360,1,2,2,5,0,1,1,0
4583,0,84000,360,1,1,2,2,0,1,0,0
3316,3500,88000,360,1,2,2,4,0,2,2,1
14999,0,242000,360,0,2,1,2,0,1,1,0
4200,1430,129000,360,1,2,2,4,1,1,0,0
5042,2083,185000,360,1,2,2,4,0,1,0,0
5417,0,168000,360,1,2,1,2,0,1,2,1
6950,0,175000,180,1,2,1,2,0,2,1,1
2698,2034,122000,360,1,2,2,2,0,1,1,1
11757,0,187000,180,1,2,2,4,0,1,2,1
2330,4486,100000,360,1,1,2,2,0,1,1,1
14866,0,70000,360,1,1,2,4,0,1,2,1
1538,1425,30000,360,1,2,2,3,0,1,2,1
10000,1666,225000,360,1,1,1,2,0,1,0,0
4860,830,125000,360,1,2,2,2,0,1,1,1
6277,0,118000,360,0,2,1,2,0,1,0,0
2577,3750,152000,360,1,2,2,2,0,2,0,1
9166,0,244000,360,1,2,1,2,0,1,2,0
2281,0,113000,360,1,2,2,4,1,1,0,0
3254,0,50000,360,1,2,1,2,0,1,2,1
39999,0,600000,180,0,2,2,5,0,1,1,1
6000,0,160000,360,1,2,2,3,0,1,0,1
9538,0,187000,360,1,2,2,3,0,1,2,1
2980,2083,120000,360,1,2,1,2,0,0,0,1
4583,5625,255000,360,1,2,2,2,0,1,1,1
1863,1041,98000,360,1,2,2,2,1,1,1,1
7933,0,275000,360,1,2,2,2,0,1,2,0
3089,1280,121000,360,0,2,2,3,0,1,1,0
4167,1447,158000,360,1,2,2,4,0,1,0,1
9323,0,75000,180,1,2,2,2,0,1,2,1
3707,3166,182000,360,1,2,2,2,0,1,0,1
4583,0,112000,360,1,1,2,2,0,1,0,0
2439,3333,129000,360,1,2,2,2,0,1,0,1
2237,0,63000,480,0,2,1,2,0,1,1,0
8000,0,200000,360,1,2,2,4,0,1,1,1
1820,1769,95000,360,1,2,2,2,1,0,0,1
51763,0,700000,300,1,0,2,5,0,1,2,1
3522,0,81000,180,1,2,2,5,1,1,0,0
5708,5625,187000,360,1,2,2,2,0,1,1,1
4344,736,87000,360,1,2,2,2,1,2,1,0
3497,1964,116000,360,1,2,2,2,0,1,0,1
2045,1619,101000,360,1,2,2,4,0,1,0,1
5516,11300,495000,360,0,2,2,5,0,1,1,0
3750,0,116000,360,1,2,2,3,0,1,1,1
2333,1451,102000,480,0,2,1,2,1,1,2,0
6400,7250,180000,360,0,2,2,3,0,1,2,0
1916,5063,67000,360,1,2,1,2,0,1,0,0
4600,0,73000,180,1,2,2,2,0,1,1,1
33846,0,260000,360,1,2,2,3,0,1,1,0
3625,0,108000,360,1,1,2,2,0,1,1,1
39147,4750,120000,360,1,2,2,2,0,2,1,1
2178,0,66000,300,0,2,2,3,0,2,0,0
2383,2138,58000,360,1,2,2,2,0,1,0,1
674,5296,168000,360,1,0,2,2,0,2,0,1
9328,0,188000,180,1,2,2,2,0,1,0,1
4885,0,48000,360,1,2,1,2,1,1,0,1
12000,0,164000,360,1,2,1,2,0,1,1,0
6033,0,160000,360,1,2,2,2,1,1,2,0
3858,0,76000,360,1,2,1,2,0,1,1,1
4191,0,120000,360,1,2,1,2,0,1,0,1
3125,2583,170000,360,1,2,2,3,0,1,1,0
8333,3750,187000,360,1,2,1,2,0,1,0,1
1907,2365,120000,360,1,1,1,2,1,1,2,1
3416,2816,113000,360,1,1,2,2,0,1,1,1
11000,0,83000,360,1,2,1,2,0,2,2,0
2600,2500,90000,360,1,2,2,3,1,1,1,1
4923,0,166000,360,0,2,1,4,0,1,1,1
3992,0,138000,180,1,2,2,5,1,1,2,0
3500,1083,135000,360,1,2,2,3,1,1,2,1
3917,0,124000,360,1,2,2,4,1,1,1,1
4408,0,120000,360,1,1,1,2,1,1,1,1
3244,0,80000,360,1,1,1,2,0,1,2,1
3975,2531,55000,360,1,2,1,2,1,1,0,1
2479,0,59000,360,1,2,1,2,0,1,2,1
3418,0,127000,360,1,2,1,2,0,1,1,0
10000,0,214000,360,1,1,1,2,0,1,1,0
3430,1250,128000,360,0,2,2,5,0,1,1,0
7787,0,240000,360,1,2,2,3,0,2,2,1
5703,0,130000,360,1,2,2,5,1,2,0,1
3173,3021,137000,360,1,2,2,2,0,1,2,1
3850,983,100000,360,1,2,2,5,1,1,1,1
150,1800,135000,360,1,2,2,2,0,1,0,0
3727,1775,131000,360,1,2,2,2,0,1,1,1
5000,0,72000,360,0,2,2,4,0,0,1,0
4283,2383,127000,360,1,1,2,4,0,1,1,1
2221,0,60000,360,0,2,2,2,0,1,2,0
4009,1717,116000,360,1,2,2,4,0,1,1,1
2971,2791,144000,360,1,2,1,2,0,1,1,1
7578,1010,175000,360,1,2,2,2,0,1,1,1
6250,0,128000,360,1,2,2,2,0,1,1,1
3250,0,170000,360,1,2,2,2,0,1,0,0
4735,0,138000,360,1,2,2,0,1,2,2,0
6250,1695,210000,360,1,2,2,4,0,1,1,1
4758,0,158000,480,1,2,0,0,0,1,1,1
6400,0,200000,360,1,2,1,2,0,2,0,1
2491,2054,104000,360,1,2,2,3,0,1,1,1
3716,0,42000,180,1,2,2,2,0,0,0,1
3189,2598,120000,360,1,2,1,2,1,1,0,1
8333,0,280000,360,1,1,1,2,0,1,1,1
3155,1779,140000,360,1,2,2,3,0,1,1,1
5500,1260,170000,360,1,2,2,3,0,1,0,1
5746,0,255000,360,1,2,2,2,0,0,2,0
3463,0,122000,360,1,1,1,2,0,2,2,1
3812,0,112000,360,1,1,1,3,0,1,0,1
3315,0,96000,360,1,2,2,3,0,1,1,1
5819,5000,120000,360,1,2,2,4,0,1,0,1
2510,1983,140000,180,1,2,2,3,1,1,2,0
2965,5701,155000,60,1,2,1,2,0,1,2,1
6250,1300,108000,360,1,2,2,4,0,2,0,1
3406,4417,123000,360,1,2,2,2,1,1,1,1
6050,4333,120000,180,1,2,1,2,0,2,2,0
9703,0,112000,360,1,2,2,4,0,1,2,1
6608,0,137000,180,1,2,2,3,1,1,2,1
2882,1843,123000,480,1,2,2,3,0,1,1,1
1809,1868,90000,360,1,2,2,2,0,1,2,1
1668,3890,201000,360,0,2,2,2,1,1,1,0
3427,0,138000,360,1,1,1,4,0,1,2,0
2583,2167,104000,360,1,2,1,2,1,2,0,1
2661,7101,279000,180,1,2,2,3,1,1,1,1
16250,0,192000,360,0,2,1,2,0,2,2,0
3083,0,255000,360,1,1,1,5,0,1,0,1
6045,0,115000,360,0,2,1,2,1,1,0,0
5250,0,94000,360,1,2,2,5,0,1,2,0
14683,2100,304000,360,1,2,2,2,0,1,0,0
4931,0,128000,360,1,2,2,5,1,1,1,0
6083,4250,330000,360,1,2,2,3,0,1,2,1
2060,2209,134000,360,1,2,1,2,0,1,1,1
3481,0,155000,36,1,1,1,3,0,1,1,0
7200,0,120000,360,1,1,1,2,0,1,0,1
5166,0,128000,360,1,2,1,2,0,2,1,1
4095,3447,151000,360,1,2,1,2,0,1,0,1
4708,1387,150000,360,1,2,2,4,0,1,1,1
4333,1811,160000,360,0,2,2,5,0,1,2,1
3418,0,135000,360,1,1,1,2,0,0,0,0
2876,1560,90000,360,1,1,1,3,0,1,2,1
3237,0,30000,360,1,1,1,2,0,1,2,1
11146,0,136000,360,1,2,2,2,0,1,2,1
2833,1857,126000,360,1,2,1,2,0,1,0,1
2620,2223,150000,360,1,2,2,2,0,1,1,1
3900,0,90000,360,1,2,2,4,0,1,1,1
2750,1842,115000,360,1,2,2,3,0,1,1,1
3993,3274,207000,360,1,2,2,2,0,1,1,1
3103,1300,80000,360,1,2,2,2,0,1,2,1
14583,0,436000,360,1,2,2,2,0,1,1,1
4100,0,124000,360,1,1,2,2,1,1,0,1
4053,2426,158000,360,0,2,1,3,1,2,2,0
3927,800,112000,360,1,2,2,2,0,1,1,1
2301,985,78000,180,1,2,2,4,0,1,2,1
1811,1666,54000,360,1,1,1,2,0,1,2,1
20667,0,600000,360,1,2,2,2,0,1,0,0
3158,3053,89000,360,1,2,1,2,0,1,0,1
2600,1717,99000,300,1,1,1,2,0,2,1,0
3704,2000,120000,360,1,2,2,2,0,1,0,1
4124,0,115000,360,1,1,1,2,0,1,1,1
9508,0,187000,360,1,2,1,2,0,1,0,1
3075,2416,139000,360,1,2,2,2,0,1,0,1
4400,0,127000,360,0,2,2,4,0,1,1,0
3153,1560,134000,360,1,2,2,4,0,1,2,1
5417,0,143000,480,0,1,1,1,0,1,2,0
2383,3334,172000,360,1,2,2,2,0,1,1,1
4416,1250,110000,360,1,2,2,5,0,0,2,1
6875,0,200000,360,1,2,2,3,0,1,1,1
4666,0,135000,360,1,1,2,3,0,1,2,1
5000,2541,151000,480,1,1,1,2,0,1,0,0
2014,2925,113000,360,1,2,2,3,0,1,2,0
1800,2934,93000,360,0,2,2,2,1,1,2,0
2875,1750,105000,360,1,2,2,0,1,1,1,1
5000,0,132000,360,1,1,1,2,0,1,0,1
1625,1803,96000,360,1,2,2,3,0,1,2,1
4000,2500,140000,360,1,2,1,2,0,1,0,1
2000,0,71000,360,1,2,1,2,1,1,2,0
3762,1666,135000,360,1,1,1,2,0,1,0,1
2400,1863,104000,360,0,1,1,2,0,1,2,0
20233,0,480000,360,1,2,1,2,0,1,0,0
7667,0,185000,360,1,2,2,4,1,1,0,1
2917,0,84000,360,1,1,1,2,0,1,1,1
2927,2405,111000,360,1,2,1,2,1,1,1,1
2507,0,56000,360,1,1,1,2,0,1,0,1
5746,0,144000,84,1,2,2,4,0,2,0,1
2473,1843,159000,360,1,0,2,2,0,1,0,0
3399,1640,111000,180,1,2,2,3,1,1,2,1
3717,0,120000,360,1,2,2,4,0,1,1,1
2058,2134,88000,360,1,2,2,2,0,1,2,1
3541,0,112000,360,1,1,1,3,0,1,1,1
10000,0,155000,360,1,2,2,3,0,2,0,0
2400,2167,115000,360,1,2,2,2,0,1,1,1
4342,189,124000,360,1,2,2,5,0,1,1,1
3601,1590,112000,360,1,2,2,4,1,1,0,1
3166,2985,132000,360,1,1,1,2,0,1,0,1
15000,0,300000,360,1,2,2,5,0,1,0,1
8666,4983,376000,360,0,2,2,3,0,2,0,0
4917,0,130000,360,0,2,1,2,0,1,0,1
5818,2160,184000,360,1,2,2,2,0,2,1,1
4333,2451,110000,360,1,1,2,2,0,1,2,0
2500,0,67000,360,1,1,1,2,0,1,2,1
4384,1793,117000,360,1,2,1,3,0,1,2,1
2935,0,98000,360,1,2,1,2,0,1,1,1
2833,0,71000,360,1,2,1,0,0,1,2,1
63337,0,490000,180,1,2,2,2,0,0,2,1
9833,1833,182000,180,1,0,2,3,0,2,2,1
5503,4490,70000,360,1,2,2,0,0,2,1,1
5250,688,160000,360,1,2,2,3,0,0,0,1
2500,4600,176000,360,1,2,2,4,0,2,0,1
1830,0,112000,360,0,1,1,5,1,1,2,0
4160,0,71000,360,1,1,1,2,0,1,1,1
2647,1587,173000,360,1,2,2,5,1,1,0,0
2378,0,46000,360,1,1,1,2,0,1,0,0
4554,1229,158000,360,1,2,2,3,1,1,2,1
3173,0,74000,360,1,2,2,5,1,1,1,1
2583,2330,125000,360,1,2,2,4,0,0,0,1
2499,2458,160000,360,1,2,2,2,0,1,1,1
3523,3230,152000,360,0,2,2,0,1,1,0,0
3083,2168,126000,360,1,2,2,4,1,1,2,1
6333,4583,259000,360,1,2,2,2,0,1,1,1
2625,6250,187000,360,1,2,2,2,0,1,0,1
9083,0,228000,360,1,2,2,2,0,1,1,1
8750,4167,308000,360,1,2,1,2,0,1,0,0
2666,2083,95000,360,1,2,2,5,0,1,0,1
5500,0,105000,360,0,1,2,2,0,2,0,0
2423,505,130000,360,1,1,2,2,0,1,1,1
3813,0,116000,180,1,1,1,0,0,1,2,1
8333,3167,165000,360,1,2,2,4,0,1,0,1
3875,0,67000,360,1,2,2,3,0,1,2,0
3000,1666,100000,480,0,2,2,2,1,1,2,0
5167,3167,200000,360,1,2,2,5,0,1,1,1
4723,0,81000,360,1,1,1,3,0,1,1,0
5000,3667,236000,360,1,2,2,4,0,1,1,1
4750,2333,130000,360,1,2,2,2,0,1,2,1
3013,3033,95000,300,1,2,2,2,0,1,2,1
6822,0,141000,360,1,2,1,2,0,2,0,1
6216,0,133000,360,1,2,1,2,1,1,0,0
2500,0,96000,480,1,2,1,2,0,1,1,0
5124,0,124000,360,0,2,1,2,0,1,0,0
6325,0,175000,360,1,2,2,3,0,1,1,1
19730,5266,570000,360,1,2,2,2,0,1,0,0
15759,0,55000,360,1,1,1,2,0,2,1,1
5185,0,155000,360,1,2,2,4,0,1,1,1
9323,7873,380000,300,1,2,2,4,0,2,0,1
3062,1987,111000,180,0,2,1,3,0,1,2,0
2764,1459,110000,360,1,1,1,2,0,0,2,1
4817,923,120000,180,1,2,2,2,0,1,2,1
8750,4996,130000,360,1,2,2,5,0,1,0,1
4310,0,130000,360,1,2,2,2,0,1,1,1
3069,0,71000,480,1,2,1,2,0,1,2,0
5391,0,130000,360,1,2,2,4,0,1,2,1
3333,2500,128000,360,1,2,2,2,0,0,1,1
5941,4232,296000,360,1,2,1,2,0,1,1,1
6000,0,156000,360,1,1,1,2,0,1,2,1
7167,0,128000,360,1,2,1,2,0,2,2,1
4566,0,100000,360,1,2,2,4,0,1,2,0
3667,0,113000,180,1,2,1,3,0,0,2,1
2346,1600,132000,360,1,2,1,2,1,1,1,1
3010,3136,123000,360,0,2,2,2,1,1,2,0
2333,2417,136000,360,1,2,2,2,0,1,2,1
5488,0,125000,360,1,2,2,2,0,1,0,1
9167,0,185000,360,1,2,1,5,0,1,0,1
9504,0,275000,360,1,2,2,5,0,1,0,1
2583,2115,120000,360,1,2,2,2,0,1,2,1
1993,1625,113000,180,1,2,2,4,1,1,1,1
3100,1400,113000,360,1,2,2,4,0,1,2,1
3276,484,135000,360,1,2,2,4,0,1,1,1
3180,0,71000,360,0,1,1,2,0,1,2,0
3033,1459,95000,360,1,2,2,2,0,1,2,1
3902,1666,109000,360,1,2,1,2,1,1,0,1
1500,1800,103000,360,0,1,1,2,0,1,1,0
2889,0,45000,180,0,2,2,4,1,1,2,0
2755,0,65000,300,1,2,1,2,1,1,0,0
2500,20000,103000,360,1,2,1,2,0,1,1,1
1963,0,53000,360,1,1,1,2,1,1,1,1
7441,0,194000,360,1,1,1,2,0,2,0,0
4547,0,115000,360,1,1,1,2,0,1,1,1
2167,2400,115000,360,1,2,2,2,1,1,2,1
2213,0,66000,360,1,1,1,2,1,1,0,1
8300,0,152000,300,0,2,2,3,0,1,1,0
81000,0,360000,360,0,2,2,5,0,1,0,0
3867,0,62000,360,1,1,1,3,1,2,1,0
6256,0,160000,360,1,2,2,2,0,0,2,1
6096,0,218000,360,0,2,2,2,1,1,0,0
2253,2033,110000,360,1,2,2,2,1,1,0,1
2149,3237,178000,360,0,1,2,2,1,1,1,0
2995,0,60000,360,1,1,1,2,0,1,2,1
2600,0,160000,360,1,1,1,3,0,1,2,0
1600,20000,239000,360,1,2,2,4,0,2,2,0
1025,2773,112000,360,1,2,2,2,0,1,0,1
3246,1417,138000,360,1,2,2,2,0,1,1,1
5829,0,138000,360,1,2,2,2,0,1,0,1
2720,0,80000,360,0,1,1,2,1,1,2,0
1820,1719,100000,360,1,2,2,2,0,1,2,1
7250,1667,110000,360,0,2,2,3,0,1,2,0
14880,0,96000,360,1,2,2,2,0,1,1,1
2666,4300,121000,360,1,2,2,2,0,1,0,1
4606,0,81000,360,1,1,1,3,1,1,0,0
5935,0,133000,360,1,2,2,4,0,1,1,1
2920,16,87000,360,1,2,2,2,0,1,0,1
2717,0,60000,180,1,2,1,2,1,1,2,1
8624,0,150000,360,1,1,1,3,0,2,1,1
6500,0,105000,360,0,2,1,2,0,1,0,0
12876,0,405000,360,1,2,1,2,0,0,1,1
2425,2340,143000,360,1,2,2,2,0,1,1,1
3750,0,100000,360,1,2,1,2,0,1,2,1
10047,0,158000,240,1,1,0,0,0,1,1,1
1926,1851,50000,360,1,2,1,2,0,1,1,1
2213,1125,71000,360,1,2,2,2,0,1,2,1
10416,0,187000,360,0,2,1,2,0,2,2,0
7142,0,138000,360,1,1,2,2,1,2,0,1
3660,5064,187000,360,1,2,1,2,0,1,1,1
7901,1833,180000,360,1,2,2,2,0,1,0,1
4707,1993,148000,360,1,2,1,5,1,1,1,1
37719,0,152000,360,1,2,1,3,0,1,1,1
7333,8333,175000,300,1,2,2,2,0,1,0,1
3466,1210,130000,360,1,2,2,3,0,2,0,1
4652,0,110000,360,1,2,2,4,1,1,0,1
3539,1376,55000,360,1,2,2,2,0,0,0,0
3340,1710,150000,360,0,2,2,4,0,1,0,0
2769,1542,190000,360,1,2,1,3,1,2,1,0
2309,1255,125000,360,0,2,2,4,1,1,0,0
1958,1456,60000,300,1,2,2,4,1,1,2,1
3948,1733,149000,360,0,2,2,2,0,1,0,0
2483,2466,90000,180,0,2,2,2,0,1,0,1
7085,0,84000,360,1,2,1,2,0,2,1,1
3859,0,96000,360,1,2,2,4,0,1,1,1
4301,0,118000,360,1,2,2,2,0,1,2,1
3708,2569,173000,360,1,2,2,2,0,1,2,0
4354,0,136000,360,1,2,1,4,0,1,0,1
8334,0,160000,360,1,2,2,2,0,1,1,0
2083,4083,160000,360,1,0,2,2,0,2,1,1
7740,0,128000,180,1,2,2,5,0,1,2,1
3015,2188,153000,360,1,2,2,2,0,1,0,1
5191,0,132000,360,1,1,1,3,1,0,1,1
4166,0,98000,360,0,2,1,2,0,1,1,0
6000,0,140000,360,1,2,1,2,0,1,0,1
2947,1664,70000,180,0,2,2,5,1,1,2,0
16692,0,110000,360,1,0,2,2,0,1,1,1
210,2917,98000,360,1,1,2,4,1,0,1,1
4333,2451,110000,360,1,2,2,2,0,1,2,0
3450,2079,162000,360,1,2,2,3,0,2,1,1
2653,1500,113000,180,0,2,2,3,1,1,0,0
4691,0,100000,360,1,2,2,5,0,1,1,1
2500,0,93000,360,1,1,1,2,0,2,2,1
5532,4648,162000,360,1,2,1,4,0,1,0,1
16525,1014,150000,360,1,2,2,4,0,2,0,1
6700,1750,230000,300,1,2,2,4,0,1,1,1
2873,1872,132000,360,0,0,2,4,0,1,1,0
16667,2250,86000,360,1,2,2,3,0,2,1,1
2947,1603,110000,360,1,2,2,4,0,1,2,0
4350,0,154000,360,1,1,1,2,1,1,0,1
3095,0,113000,360,1,2,2,5,1,1,0,1
2083,3150,128000,360,1,2,2,2,0,1,1,1
10833,0,234000,360,1,2,2,2,0,1,1,1
8333,0,246000,360,1,2,2,4,0,1,1,1
1958,2436,131000,360,1,2,2,3,1,1,0,1
3547,0,80000,360,0,2,1,4,0,1,0,0
18333,0,500000,360,1,2,2,3,0,1,2,0
4583,2083,160000,360,1,2,2,4,0,2,1,1
2435,0,75000,360,1,2,1,2,0,1,2,0
2699,2785,96000,360,1,2,1,2,1,1,1,1
5333,1131,186000,360,1,2,2,3,1,1,2,1
3691,0,110000,360,1,2,1,2,1,1,0,1
17263,0,225000,360,1,1,1,2,1,2,1,1
3597,2157,119000,360,0,2,2,2,0,1,0,0
3326,913,105000,84,1,1,2,3,0,1,1,1
2600,1700,107000,360,1,2,2,2,1,1,0,1
4625,2857,111000,12,1,2,2,2,0,1,2,1
2895,0,95000,360,1,2,2,3,0,2,1,1
6283,4416,209000,360,0,2,1,2,0,1,0,0
645,3683,113000,480,1,1,1,2,0,1,0,1
3159,0,100000,360,1,1,1,2,0,1,1,1
4865,5624,208000,360,1,2,2,4,0,1,1,1
4050,5302,138000,360,0,2,2,3,1,1,0,0
3814,1483,124000,300,1,2,2,2,1,1,1,1
3510,4416,243000,360,1,2,2,4,0,1,0,1
20833,6667,480000,360,1,2,2,2,0,1,2,1
3583,0,96000,360,1,0,1,2,0,1,2,0
2479,3013,188000,360,1,2,2,2,0,2,2,1
13262,0,40000,360,1,1,1,3,0,1,2,1
3598,1287,100000,360,1,2,1,2,1,1,0,0
6065,2004,250000,360,1,2,2,3,0,1,1,1
3283,2035,148000,360,1,2,2,4,0,1,2,1
2130,6666,70000,180,1,2,2,2,0,1,1,0
5815,3666,311000,360,1,2,1,2,0,1,0,0
3466,3428,150000,360,1,2,2,5,0,1,0,1
2031,1632,113000,480,1,1,2,4,0,1,1,1
3074,1800,123000,360,0,2,2,0,1,1,1,0
4683,1915,185000,360,1,2,1,2,0,1,1,0
3400,0,95000,360,1,1,1,2,1,1,0,0
