Credit_History,LoanAmount,ApplicantIncome,CoapplicantIncome,Loan_Status_cat
1,128000,6250,0,1
1,170000,3250,0,0
1,138000,4735,0,0
1,210000,6250,1695,1
1,158000,4758,0,1
1,200000,6400,0,1
1,104000,2491,2054,1
1,42000,3716,0,1
1,120000,3189,2598,1
1,280000,8333,0,1
1,140000,3155,1779,1
1,170000,5500,1260,1
1,255000,5746,0,0
1,122000,3463,0,1
1,112000,3812,0,1
1,96000,3315,0,1
1,120000,5819,5000,1
1,140000,2510,1983,0
1,155000,2965,5701,1
1,108000,6250,1300,1
1,123000,3406,4417,1
1,120000,6050,4333,0
1,112000,9703,0,1
1,137000,6608,0,1
1,123000,2882,1843,1
1,90000,1809,1868,1
0,201000,1668,3890,0
1,138000,3427,0,0
1,104000,2583,2167,1
1,279000,2661,7101,1
0,192000,16250,0,0
1,255000,3083,0,1
0,115000,6045,0,0
1,94000,5250,0,0
1,304000,14683,2100,0
1,128000,4931,0,0
1,330000,6083,4250,1
1,134000,2060,2209,1
1,155000,3481,0,0
1,120000,7200,0,1
1,128000,5166,0,1
1,151000,4095,3447,1
1,150000,4708,1387,1
0,160000,4333,1811,1
1,135000,3418,0,0
1,90000,2876,1560,1
1,30000,3237,0,1
1,136000,11146,0,1
1,126000,2833,1857,1
1,150000,2620,2223,1
1,90000,3900,0,1
1,115000,2750,1842,1
1,207000,3993,3274,1
1,80000,3103,1300,1
1,436000,14583,0,1
1,124000,4100,0,1
0,158000,4053,2426,0
1,112000,3927,800,1
1,78000,2301,985,1
1,54000,1811,1666,1
1,600000,20667,0,0
1,89000,3158,3053,1
1,99000,2600,1717,0
1,120000,3704,2000,1
1,115000,4124,0,1
1,187000,9508,0,1
1,139000,3075,2416,1
0,127000,4400,0,0
1,134000,3153,1560,1
0,143000,5417,0,0
1,172000,2383,3334,1
1,110000,4416,1250,1
1,200000,6875,0,1
1,135000,4666,0,1
1,151000,5000,2541,0
1,113000,2014,2925,0
0,93000,1800,2934,0
1,105000,2875,1750,1
1,132000,5000,0,1
1,96000,1625,1803,1
1,140000,4000,2500,1
1,71000,2000,0,0
1,135000,3762,1666,1
0,104000,2400,1863,0
1,480000,20233,0,0
1,185000,7667,0,1
1,84000,2917,0,1
1,111000,2927,2405,1
1,56000,2507,0,1
1,144000,5746,0,1
1,159000,2473,1843,0
1,111000,3399,1640,1
1,120000,3717,0,1
1,88000,2058,2134,1
1,112000,3541,0,1
1,155000,10000,0,0
1,115000,2400,2167,1
1,124000,4342,189,1
1,112000,3601,1590,1
1,132000,3166,2985,1
1,300000,15000,0,1
0,376000,8666,4983,0
0,130000,4917,0,1
1,184000,5818,2160,1
1,110000,4333,2451,0
1,67000,2500,0,1
1,117000,4384,1793,1
1,98000,2935,0,1
1,71000,2833,0,1
1,490000,63337,0,1
1,182000,9833,1833,1
1,70000,5503,4490,1
1,160000,5250,688,1
1,176000,2500,4600,1
0,112000,1830,0,0
1,71000,4160,0,1
1,173000,2647,1587,0
1,46000,2378,0,0
1,158000,4554,1229,1
1,74000,3173,0,1
1,125000,2583,2330,1
1,160000,2499,2458,1
0,152000,3523,3230,0
1,126000,3083,2168,1
1,259000,6333,4583,1
1,187000,2625,6250,1
1,228000,9083,0,1
1,308000,8750,4167,0
1,95000,2666,2083,1
0,105000,5500,0,0
1,130000,2423,505,1
1,116000,3813,0,1
1,165000,8333,3167,1
1,67000,3875,0,0
0,100000,3000,1666,0
1,200000,5167,3167,1
1,81000,4723,0,0
1,236000,5000,3667,1
1,130000,4750,2333,1
1,95000,3013,3033,1
1,141000,6822,0,1
1,133000,6216,0,0
1,96000,2500,0,0
0,124000,5124,0,0
1,175000,6325,0,1
1,570000,19730,5266,0
1,55000,15759,0,1
1,155000,5185,0,1
1,380000,9323,7873,1
0,111000,3062,1987,0
1,110000,2764,1459,1
1,120000,4817,923,1
1,130000,8750,4996,1
1,130000,4310,0,1
1,71000,3069,0,0
1,130000,5391,0,1
1,128000,3333,2500,1
1,296000,5941,4232,1
1,156000,6000,0,1
1,128000,7167,0,1
1,100000,4566,0,0
1,113000,3667,0,1
1,132000,2346,1600,1
0,123000,3010,3136,0
1,136000,2333,2417,1
1,125000,5488,0,1
1,185000,9167,0,1
1,275000,9504,0,1
1,120000,2583,2115,1
1,113000,1993,1625,1
1,113000,3100,1400,1
1,135000,3276,484,1
0,71000,3180,0,0
1,95000,3033,1459,1
1,109000,3902,1666,1
0,103000,1500,1800,0
0,45000,2889,0,0
1,65000,2755,0,0
1,103000,2500,20000,1
1,53000,1963,0,1
1,194000,7441,0,0
1,115000,4547,0,1
1,115000,2167,2400,1
1,66000,2213,0,1
0,152000,8300,0,0
0,360000,81000,0,0
1,62000,3867,0,0
1,160000,6256,0,1
0,218000,6096,0,0
1,110000,2253,2033,1
0,178000,2149,3237,0
1,60000,2995,0,1
1,160000,2600,0,0
1,239000,1600,20000,0
1,112000,1025,2773,1
1,138000,3246,1417,1
1,138000,5829,0,1
0,80000,2720,0,0
1,100000,1820,1719,1
0,110000,7250,1667,0
1,96000,14880,0,1
1,121000,2666,4300,1
1,81000,4606,0,0
1,133000,5935,0,1
1,87000,2920,16,1
1,60000,2717,0,1
1,150000,8624,0,1
0,105000,6500,0,0
1,405000,12876,0,1
1,143000,2425,2340,1
1,100000,3750,0,1
1,158000,10047,0,1
1,50000,1926,1851,1
1,71000,2213,1125,1
0,187000,10416,0,0
1,138000,7142,0,1
1,187000,3660,5064,1
1,180000,7901,1833,1
1,148000,4707,1993,1
1,152000,37719,0,1
1,175000,7333,8333,1
1,130000,3466,1210,1
1,110000,4652,0,1
1,55000,3539,1376,0
0,150000,3340,1710,0
1,190000,2769,1542,0
0,125000,2309,1255,0
1,60000,1958,1456,1
0,149000,3948,1733,0
0,90000,2483,2466,1
1,84000,7085,0,1
1,96000,3859,0,1
1,118000,4301,0,1
1,173000,3708,2569,0
1,136000,4354,0,1
1,160000,8334,0,0
1,160000,2083,4083,1
1,128000,7740,0,1
1,153000,3015,2188,1
1,132000,5191,0,1
0,98000,4166,0,0
1,140000,6000,0,1
0,70000,2947,1664,0
1,110000,16692,0,1
1,98000,210,2917,1
1,110000,4333,2451,0
1,162000,3450,2079,1
0,113000,2653,1500,0
1,100000,4691,0,1
1,93000,2500,0,1
1,162000,5532,4648,1
1,150000,16525,1014,1
1,230000,6700,1750,1
0,132000,2873,1872,0
1,86000,16667,2250,1
1,110000,2947,1603,0
1,154000,4350,0,1
1,113000,3095,0,1
1,128000,2083,3150,1
1,234000,10833,0,1
1,246000,8333,0,1
1,131000,1958,2436,1
0,80000,3547,0,0
1,500000,18333,0,0
1,160000,4583,2083,1
1,75000,2435,0,0
1,96000,2699,2785,1
1,186000,5333,1131,1
1,110000,3691,0,1
1,225000,17263,0,1
0,119000,3597,2157,0
1,105000,3326,913,1
1,107000,2600,1700,1
1,111000,4625,2857,1
1,95000,2895,0,1
0,209000,6283,4416,0
1,113000,645,3683,1
1,100000,3159,0,1
1,208000,4865,5624,1
0,138000,4050,5302,0
1,124000,3814,1483,1
1,243000,3510,4416,1
1,480000,20833,6667,1
1,96000,3583,0,0
1,188000,2479,3013,1
1,40000,13262,0,1
1,100000,3598,1287,0
1,250000,6065,2004,1
1,148000,3283,2035,1
1,70000,2130,6666,0
1,311000,5815,3666,0
1,150000,3466,3428,1
1,113000,2031,1632,1
0,123000,3074,1800,0
1,185000,4683,1915,0
1,95000,3400,0,0
1,45000,2192,1742,1
1,55000,2500,0,1
1,100000,5677,1424,1
1,480000,7948,7166,1
1,110000,4680,2087,0
1,400000,17500,0,1
1,110000,3775,0,1
0,161000,5285,1430,1
1,94000,2679,1302,1
1,130000,6783,0,1
1,216000,1025,5500,1
1,100000,4281,0,1
0,110000,3588,0,0
1,196000,11250,0,0
1,125000,18165,0,1
1,126000,2550,2042,1
1,324000,6133,3906,1
1,107000,3617,0,1
1,66000,2917,536,0
1,157000,6417,0,1
1,140000,4608,2845,1
0,99000,2138,0,0
1,95000,3652,0,1
1,128000,2239,2524,1
1,102000,3017,663,1
1,155000,2768,1950,1
1,80000,3358,0,0
1,145000,2526,1783,1
0,103000,5000,0,0
1,110000,2785,2016,1
0,286000,6633,0,0
1,112000,2492,2375,1
1,158000,3333,3250,1
0,181000,2454,2333,0
0,132000,3593,4266,0
1,26000,5468,1032,1
1,84000,2667,1625,1
1,260000,10139,0,1
1,162000,3887,2669,1
1,182000,4180,2306,1
1,108000,3675,242,1
1,600000,19484,0,1
1,211000,5923,2054,1
1,132000,5800,0,1
0,258000,8799,0,0
1,120000,4467,0,1
1,70000,3333,0,1
0,123000,3400,2500,0
1,9000,2378,0,0
0,104000,3166,2064,0
1,186000,3417,1750,1
0,165000,5116,1451,0
1,275000,16666,0,1
1,187000,6125,1625,0
1,150000,6406,0,0
1,108000,3159,461,1
0,136000,3087,2210,0
1,110000,3229,2739,1
1,107000,1782,2232,1
1,161000,3182,2917,1
1,205000,6540,0,1
1,90000,1836,33837,0
1,36000,3166,0,1
1,61000,1880,0,0
0,146000,2787,1917,0
1,172000,4283,3000,0
1,104000,2297,1522,1
1,70000,2165,0,1
1,94000,4750,0,1
0,106000,2726,0,0
1,56000,3000,3416,1
1,205000,6000,0,0
1,292000,9357,0,1
1,142000,3859,3300,1
1,260000,16120,0,1
1,110000,3833,0,1
1,187000,6383,1000,0
0,88000,2987,0,0
1,180000,9963,0,1
1,192000,5780,0,1
1,350000,416,41667,0
1,155000,2894,2792,1
1,128000,5703,0,1
1,172000,3676,4301,1
1,496000,12000,0,1
1,120000,2400,3800,0
1,173000,3400,2500,1
1,157000,3987,1411,1
1,108000,3232,1950,1
1,71000,2900,0,1
1,40000,4106,0,1
1,253000,8072,240,1
1,187000,7583,0,1
0,133000,4583,0,0
